纒	纏
纘	纉
纤	縴
线	線
绔	褲
绝	絕
绣	繡
绱	緔
绷	繃
绿	綠
缋	繪
缐	線
缰	繮
缶	罐
缷	卸
缺	欠
缾	瓶
罇	樽
罐	缶
罗	囉
罘	罦
罥	羂
罪	辠
置	寘
罰	罸
罶	羀
罹	罹
羀	罶
羂	罥
羃	冪
羅	羅
羇	羈
羈	覊
羚	羚
羝	牴
羡	羨
羣	群
群	羣
羮	羹
羹	羮
羽	羽
翄	翅
翅	翄
翆	翠
翚	翬
翠	翆
翬	翚
翱	翺
翶	翱
翺	翱
翻	繙
翽	翙
老	耂
耂	老
考	攷
耇	耈
耈	耇
耉	耈
耗	秏
耘	秐
耡	鋤
耤	藉
耽	躭
耿	炅
聆	聆
聖	堊
聟	婿
聡	聰
聨	聯
聫	聯
聮	聯
聯	聨
聰	聡
聴	聽
聼	聽
聾	聾
聿	肀
肀	聿
肅	粛
肆	四
肉	宍
肋	肋
肐	胳
股	脵
肯	肻
育	毓
肻	肯
胄	冑
胊	朐
胝	郅
胞	脬
胡	楜
胭	臙
胳	肐
胷	胸
胸	胷
胼	腁
脇	脅
脏	髒
脣	唇
脧	朘
脬	胞
脲	尿
脳	腦
脵	股
腁	胼
腘	膕
腟	膣
腸	膓
膕	腘
膘	臕
膣	腟
膸	髓
臈	臘
臏	髕
臓	臟
臕	膘
臙	胭
臨	臨
舃	舄
舄	舃
舉	擧
舍	舎
舎	舍
舖	鋪
舗	鋪
舘	館
舡	船
舩	船
舮	櫓
舵	柁
舶	艊
船	舩
舻	櫓
艊	舶
艣	櫓
艪	櫓
艫	櫓
良	良
艳	豔
艴	勃
艷	豔
艽	韭
芊	茜
芘	蔽
芭	巴
芸	藝
苅	刈
苎	蒙
苑	菀
若	若
苺	莓
苽	菇
苿	菋
茅	泖
茆	茅
茈	柴
茘	荔
茭	椒
茲	玆
茶	茶
荅	答
荘	莊
荝	萴
荽	萎
莆	蒲
莊	荘
莓	苺
莵	菟
获	穫
莼	蒓
菀	苑
菇	苽
菋	苿
菔	蔔
菝	蔽
菟	莵
菫	堇
華	崋
菰	苽
菱	菱
菷	帚
菻	麻
萅	春
萆	蔽
萌	萠
萎	荽
萚	蘀
萠	萌
萼	蕚
落	落
葉	葉
葢	蓋
葫	胡
葬	塟
蒍	蔿
蒓	蓴
蒙	懞
蒲	莆
蓆	席
蓖	芘
蓡	參
蓴	蒓
蓼	蓼
蔔	菔
蔵	藏
蔽	芘
蔿	蒍
蕊	蘂
蕋	蕊
蕚	萼
蕴	蘊
薑	姜
薫	薰
薬	藥
薰	薫
薺	萕
藉	借
藏	蔵
藝	兿
藥	薬
藪	籔
藴	蘊
蘀	萚
蘂	蕊
蘆	蘆
蘏	蘔
蘓	蘇
蘔	蘏
蘖	蘗
蘗	檘
蘿	蘿
虎	乕
虐	乇
處	処
虖	呼
虜	虜
虺	蝰
蚃	蠁
蚊	螡
蛋	旦
蛍	螢
蛔	蜖
蛛	鼄
蜖	蛔
蜘	鼅
