箎	篪
箒	帚
箖	籃
算	筭
箛	箍
箠	捶
管	筦
箴	針
箸	筯
箾	簫
篋	匧
篠	筱
篡	簒
篢	槓
篦	笓
篩	簛
篪	箎
篴	笛
篺	棑
簁	篩
簌	雝
簒	篡
簕	竻
簛	篩
簠	盙
簡	耕
簣	蕢
簨	栒
簫	燒
簷	檐
簻	檛
簾	𢅖
籃	箖
籄	簣
籐	藤
籑	䉵
籥	龠
籲	龥
籼	秈
粃	秕
粗	麤
粘	黏
粤	粵
粦	㷠
粧	妝
粮	糧
粳	秔
粵	粤
粽	糉
糇	餱
糉	粽
糓	穀
糕	餻
糖	餹
糙	㿷
糟	醩
糠	穅
糡	糨
糤	饊
糧	粮
糨	糡
糯	稬
糰	䊜
糶	條
糸	糹
糹	糸
糺	糾
糾	糺
紙	帋
級	𨸚
紟	衿
紥	紮
紬	綢
紮	扎
紲	緤
紹	佋
絃	弦
絅	褧
絖	纊
絚	緪
絛	縚
絝	袴
絥	鞴
絪	氤
統	綂
綂	統
綉	繡
綑	捆
經	𦀇
綠	氯
綢	紬
綫	線
綳	繃
綻	䘺
綿	緜
緊	𦂳
線	綫
緜	綿
緣	縁
緤	紲
緥	褓
緪	絚
緲	眇
縁	緣
縆	絚
縐	皺
縚	絛
縟	溽
縭	褵
縯	䌥
總	搃
繃	綳
繅	繰
繈	繦
繖	傘
繞	遶
繡	綉
繦	繈
繩	䋲
繮	韁
繰	繅
繲	挫
纊	絖
纎	纖
纖	砌
纜	䌫
缶	缻
缸	堈
缻	缶
缽	鉢
缾	瓶
罁	堈
罃	甖
罅	𨻲
罇	墫
罈	墰
罋	瓮
罌	甖
罐	礶
网	㓁
罔	网
罗	羅
罩	䈇
罪	辠
置	寘
罵	傌
羃	冪
羅	罗
羈	覊
羌	羗
美	羙
羓	豝
羖	𦍩
羗	羌
羙	美
羡	羨
羣	群
群	羣
羨	羡
義	义
羮	羹
羴	羶
羶	羴
羹	羮
翄	翅
翅	翄
翥	䬡
翦	剪
翱	翺
翺	翱
耀	曜
考	攷
耏	耐
耐	耏
耑	專
耔	秄
耕	畊
耗	秏
耘	秐
耙	鈀
耤	藉
耨	鎒
耰	櫌
耻	恥
耼	聃
聃	耼
聖	圣
聝	馘
聦	聰
聰	聦
聲	声
職	軄
聻	魙
聽	听
肆	四
肇	肈
肈	肇
肐	胳
肕	韌
股	𦙶
肢	胑
肧	胚
肨	胮
肬	疣
肱	厷
育	毓
肳	吻
肴	餚
胄	伷
胆	膽
胑	肢
胓	𦚓
胔	骴
胗	疹
胚	肧
胭	臙
胮	肨
胯	骻
胳	肐
胷	匈
胸	匈
脃	脆
脅	脇
脆	脃
脇	脅
脈	衇
脉	䘑
脚	腳
脣	唇
脪	㾙
脹	痮
腊	臈
腕	𦙵
腢	髃
腦	匘
腫	尰
腭	齶
腮	顋
腳	脚
腿	骽
膆	嗉
膋	膫
膫	膋
膳	饍
膽	胆
膾	鱠
臇	𤎱
臈	腊
臊	𦞣
臏	髕
臘	腊
臙	胭
臞	癯
臥	卧
臯	皋
臺	台
舀	抌
與	与
興	㒷
舉	㪯
舊	旧
舐	舓
舓	舐
舔	餂
舖	鋪
舘	館
舡	船
舦	艜
舵	柁
船	舡
艜	舦
艢	檣
艥	楫
艪	樐
艶	豓
艸	草
艹	艸
芒	杧
芔	卉
芟	𠚹
芦	蘆
花	蘤
芻	蒭
苕	䒒
苟	茍
苡	苢
苢	苡
苤	瞥
苺	莓
茍	苟
茠	薅
茲	兹
荅	答
荆	荊
荇	莕
草	艸
荊	荆
荍	蕎
荐	薦
荔	栛
荣	榮
荳	豆
莀	農
莅	涖
莊	庄
莓	苺
莕	荇
莜	蓧
莿	朿
菇	菰
菌	蕈
菑	災
菓	果
菔	蔔
菢	勽
菫	堇
菰	菇
菴	庵
菸	烟
萆	蓖
萬	万
萱	萲
萲	萱
葁	薑
著	着
葚	椹
葢	盖
葬	塟
葯	藥
葱	蔥
蒓	蓴
蒞	涖
蒭	芻
蒸	烝
蓋	盖
蓖	萆
蓧	莜
蓴	蒓
蓺	埶
蔔	菔
蔚	嶎
蔥	葱
蔭	廕
蔴	麻
蕈	菌
蕊	蕋
蕋	蕊
蕎	荍
蕢	簣
蕣	橓
蕤	甤
蕩	偒
薅	茠
薑	葁
薟	蘞
薦	荐
薯	藷
藇	𨣦
藉	耤
藝	埶
藟	蘽
藤	籐
藥	葯
藦	蘑
藷	薯
蘆	芦
蘑	藦
蘖	櫱
蘞	薟
蘤	花
蘯	盪
蘽	藟
虐	䖈
